product_id,product_name,category,price,cost,margin_percent,launch_date
PROD_0362,Kids Racket,Sports & Outdoors,724.45,520.9,28.1,2023-01-26
PROD_0074,Mccoy Ltd Phone,Electronics,1019.05,759.35,25.5,2021-12-07
PROD_0375,Kids Equipment,Sports & Outdoors,132.3,97.42,26.4,2021-01-26
PROD_0156,Premium Jacket,Clothing,248.53,200.89,19.2,2023-09-16
PROD_0105,Classic Shirt,Clothing,103.9,75.95,26.9,2024-07-18
PROD_0395,Amateur Gear,Sports & Outdoors,625.19,501.05,19.9,2022-04-09
PROD_0378,Amateur Gear,Sports & Outdoors,524.9,429.94,18.1,2021-12-23
PROD_0125,Sport Jacket,Clothing,162.51,114.65,29.5,2021-04-12
PROD_0069,Jordan Inc Tablet,Electronics,1700.49,1199.03,29.5,2020-11-25
PROD_0451,Assimilated neutral task-force Game,Books & Media,99.87,74.14,25.8,2024-01-21
PROD_0010,Everett LLC Speaker,Electronics,1440.81,1195.11,17.1,2022-03-30
PROD_0195,Sport Dress,Clothing,59.67,45.12,24.4,2024-01-01
PROD_0407,Down-sized secondary attitude DVD,Books & Media,11.77,8.86,24.7,2024-03-26
PROD_0085,Cox Ltd Phone,Electronics,162.4,131.72,18.9,2021-06-26
PROD_0372,Amateur Ball,Sports & Outdoors,389.29,300.24,22.9,2023-05-01
PROD_0389,Pro Gear,Sports & Outdoors,27.87,22.76,18.3,2024-06-25
PROD_0496,Multi-tiered scalable attitude Game,Books & Media,30.11,22.07,26.7,2023-04-04
PROD_0031,Gross-Munoz Tablet,Electronics,1043.04,756.07,27.5,2021-12-12
PROD_0317,Kids Bike,Sports & Outdoors,279.21,237.27,15.0,2021-08-11
PROD_0409,Up-sized maximized monitoring Magazine,Books & Media,30.62,24.38,20.4,2021-10-04
PROD_0491,Decentralized cohesive array Magazine,Books & Media,42.12,34.46,18.2,2021-07-10
PROD_0492,Virtual full-range implementation Game,Books & Media,71.87,58.71,18.3,2022-11-19
PROD_0281,Standard Lamp,Home & Garden,92.55,70.54,23.8,2022-12-28
PROD_0357,Pro Bike,Sports & Outdoors,68.75,57.4,16.5,2022-12-27
PROD_0077,Hanson and Sons Phone,Electronics,1203.16,986.15,18.0,2023-09-21
PROD_0462,Right-sized modular initiative Game,Books & Media,13.48,11.33,15.9,2024-06-26
PROD_0498,Centralized scalable utilization DVD,Books & Media,79.58,57.39,27.9,2022-05-02
PROD_0212,Deluxe Tool,Home & Garden,141.44,102.97,27.2,2021-07-18
PROD_0102,Sport Shirt,Clothing,197.0,147.89,24.9,2023-01-27
PROD_0335,Pro Racket,Sports & Outdoors,248.35,178.53,28.1,2022-11-29
PROD_0476,Down-sized 24/7 array Magazine,Books & Media,45.76,37.7,17.6,2021-09-30
PROD_0337,Pro Gear,Sports & Outdoors,140.18,107.17,23.5,2021-03-16
PROD_0441,Reactive foreground orchestration Game,Books & Media,100.34,71.76,28.5,2022-10-16
PROD_0174,Premium Dress,Clothing,210.0,171.33,18.4,2023-03-27
PROD_0003,"Jennings, Hansen and Figueroa Tablet",Electronics,1709.67,1202.21,29.7,2022-01-10
PROD_0334,Amateur Gear,Sports & Outdoors,425.08,358.98,15.6,2022-09-18
PROD_0410,Robust modular support Book,Books & Media,63.1,45.47,27.9,2022-12-31
PROD_0071,"Ewing, Ruiz and Lee Tablet",Electronics,1195.06,970.78,18.8,2023-12-08
PROD_0210,Compact Table,Home & Garden,491.15,355.85,27.5,2023-01-18
PROD_0064,James and Sons Tablet,Electronics,277.37,227.81,17.9,2022-04-27
PROD_0385,Pro Gear,Sports & Outdoors,237.61,200.7,15.5,2024-07-20
PROD_0094,Smith-Williams Phone,Electronics,359.85,297.02,17.5,2021-12-18
PROD_0486,Diverse client-driven toolset DVD,Books & Media,88.94,64.34,27.7,2020-09-06
PROD_0186,Premium Jeans,Clothing,40.53,33.72,16.8,2024-02-26
PROD_0034,"Murphy, Martin and Mueller Phone",Electronics,130.4,105.35,19.2,2022-02-09
PROD_0078,"Stephenson, Williams and Jordan Camera",Electronics,243.21,202.24,16.8,2022-05-13
PROD_0001,Castillo-Diaz Laptop,Electronics,932.32,700.42,24.9,2022-02-07
PROD_0012,Barrett and Sons Laptop,Electronics,630.95,453.17,28.2,2020-10-03
PROD_0416,De-engineered systemic initiative Book,Books & Media,83.86,67.93,19.0,2023-04-11
PROD_0023,Diaz LLC Camera,Electronics,1812.26,1299.36,28.3,2024-08-04
PROD_0073,Dunn-Young Speaker,Electronics,1892.19,1514.88,19.9,2021-12-21
