transaction_id,transaction_date,transaction_datetime,customer_id,customer_segment,product_id,product_category,region,sales_channel,quantity,unit_price,discount_percent,total_amount
TXN_00050270,2022-04-07,2022-04-07 10:52:00,CUST_002840,Premium,PROD_0203,Home & Garden,North,Phone Orders,3,67.12,0.0,201.36
TXN_00071364,2022-05-07,2022-05-07 22:28:00,CUST_042117,Standard,PROD_0086,Electronics,Central,Retail Store,2,1449.94,0.0,2899.88
TXN_00221917,2022-11-24,2022-11-24 14:30:00,,Standard,PROD_0330,Sports & Outdoors,Central,Online,1,383.14,0.0,383.14
TXN_00048479,2022-04-05,2022-04-05 19:02:00,CUST_013433,Standard,PROD_0072,Electronics,North,Retail Store,1,920.06,0.0,920.06
TXN_00219803,2022-11-23,2022-11-23 21:43:00,CUST_011227,Standard,PROD_0289,Home & Garden,Central,Online,2,184.23,0.0,368.46
TXN_00408324,2023-08-27,2023-08-27 19:42:00,CUST_012862,Premium,PROD_0136,Clothing,South,Mobile App,1,69.24,9.8,69.24
TXN_00728821,2024-11-06,2024-11-06 19:14:00,CUST_013824,Budget,PROD_0299,Home & Garden,Central,Mobile App,2,57.85,13.7,115.7
TXN_00444945,2023-10-13,2023-10-13 17:35:00,CUST_038443,Standard,PROD_0124,Clothing,South,Mobile App,3,226.32,0.0,678.96
TXN_00006611,2022-01-18,2022-01-18 17:05:00,CUST_000062,Standard,PROD_0407,Books & Media,West,Phone Orders,1,11.77,0.0,11.77
TXN_00749854,2024-11-23,2024-11-23 14:55:00,CUST_035568,Standard,PROD_0232,Home & Garden,South,Phone Orders,1,177.56,0.0,177.56
TXN_00186364,2022-10-21,2022-10-21 18:27:00,CUST_027156,Standard,PROD_0493,Books & Media,East,Online,2,74.5,0.0,149.0
TXN_00752229,2024-11-26,2024-11-26 10:37:00,CUST_020110,Premium,PROD_0442,Books & Media,East,Phone Orders,3,75.71,0.0,227.13
TXN_00637472,2024-07-04,2024-07-04 18:55:00,CUST_025278,Premium,PROD_0257,Home & Garden,East,Retail Store,2,332.23,0.0,664.46
TXN_00531025,2024-01-06,2024-01-06 06:09:00,CUST_003018,Premium,PROD_0193,Clothing,Central,Retail Store,1,21.08,0.0,21.08
TXN_00703309,2024-10-08,2024-10-08 10:42:00,CUST_005897,Standard,PROD_0210,Home & Garden,West,Phone Orders,1,491.15,0.0,491.15
TXN_00721452_DUP,2024-10-30,2024-10-30 11:38:00,CUST_016107,Premium,PROD_0067,Electronics,Central,Phone Orders,1,1453.34,0.0,1453.34
TXN_00049172,2022-04-06,2022-04-06 13:11:00,CUST_019954,Premium,PROD_0331,Sports & Outdoors,Central,Online,1,374.81,0.0,374.81
TXN_00360208,2023-06-11,2023-06-11 10:19:00,CUST_030154,Budget,PROD_0375,Sports & Outdoors,North,Retail Store,3,132.3,0.0,396.9
TXN_00190823,2022-10-27,2022-10-27 09:27:00,CUST_040537,Budget,PROD_0259,Home & Garden,Central,Phone Orders,1,329.15,0.0,329.15
TXN_00454630,2023-10-26,2023-10-26 16:21:00,CUST_038069,Standard,PROD_0493,Books & Media,Central,Online,2,74.5,0.0,149.0
TXN_00657077,2024-08-04,2024-08-04 09:01:00,CUST_005664,Standard,PROD_0257,Home & Garden,West,Retail Store,1,332.23,0.0,332.23
TXN_00105937,2022-06-27,2022-06-27 08:06:00,CUST_046233,Premium,PROD_0164,Clothing,East,Online,1,64.98,0.0,64.98
TXN_00021075,2022-02-24,2022-02-24 15:31:00,CUST_027617,Standard,PROD_0472,Books & Media,South,Retail Store,1,55.53,0.0,55.53
TXN_00560257,2024-03-13,2024-03-13 17:16:00,CUST_012486,Standard,PROD_0202,Home & Garden,North,Retail Store,3,74.2,0.0,222.6
TXN_00021462,2022-02-24,2022-02-24 10:09:00,CUST_027608,Standard,PROD_0075,Electronics,North,Retail Store,1,851.38,0.0,851.38
TXN_00294895,2023-03-09,2023-03-09 18:41:00,CUST_043414,Standard,PROD_0190,Clothing,South,Mobile App,1,231.36,0.0,231.36
TXN_00260487,2022-12-27,2022-12-27 08:23:00,CUST_004237,Budget,PROD_0309,Sports & Outdoors,West,Retail Store,1,557.82,0.0,557.82
TXN_00458786,2023-10-31,2023-10-31 07:07:00,CUST_027289,Standard,PROD_0360,Sports & Outdoors,Central,Online,2,468.38,0.0,936.76
TXN_00086034,2022-05-27,2022-05-27 22:10:00,CUST_028777,Premium,PROD_0302,Sports & Outdoors,Central,Mobile App,1,246.29,0.0,246.29
TXN_00691874,2024-09-23,2024-09-23 21:03:00,CUST_046129,Premium,PROD_0005,Electronics,Central,Phone Orders,1,61.34,0.0,61.34
TXN_00414191,2023-09-05,2023-09-05 17:18:00,CUST_045933,Premium,PROD_0323,Sports & Outdoors,North,Mobile App,2,456.88,0.0,913.76
TXN_00664666,2024-08-15,2024-08-15 17:01:00,CUST_025461,Standard,PROD_0206,Home & Garden,North,Mobile App,1,78.2,0.0,78.2
TXN_00632517,2024-06-26,2024-06-26 15:56:00,CUST_039904,Standard,PROD_0437,Books & Media,North,Phone Orders,3,29.76,0.0,89.28
TXN_00412513,2023-09-02,2023-09-02 14:09:00,CUST_022109,Premium,PROD_0032,Electronics,Central,Mobile App,1,653.66,0.0,653.66
TXN_00777552,2024-12-18,2024-12-18 20:18:00,CUST_008813,Budget,PROD_0076,Electronics,Central,Mobile App,2,1188.29,0.0,2376.58
TXN_00200587,2022-11-06,2022-11-06 19:21:00,CUST_028237,Premium,PROD_0279,Home & Garden,Central,Mobile App,1,406.86,0.0,406.86
TXN_00111013,2022-07-05,2022-07-05 17:45:00,CUST_036959,Standard,PROD_0178,Clothing,Central,Phone Orders,1,121.2,0.0,121.2
TXN_00171003,2022-10-01,2022-10-01 11:47:00,CUST_018620,Budget,PROD_0367,Sports & Outdoors,West,Online,1,227.98,11.6,227.98
TXN_00501264,2023-12-07,2023-12-07 14:33:00,CUST_026197,Budget,PROD_0065,Electronics,South,Retail Store,1,1185.14,0.0,1185.14
TXN_00136144,2022-08-14,2022-08-14 06:48:00,CUST_007229,Standard,PROD_0255,Home & Garden,West,Online,1,362.8,0.0,362.8
TXN_00613745,2024-05-29,2024-05-29 06:01:00,CUST_030283,Standard,PROD_0408,Books & Media,Central,Retail Store,1,21.83,0.0,21.83
TXN_00084567,2022-05-25,2022-05-25 08:22:00,CUST_003344,Standard,PROD_0423,Books & Media,North,Mobile App,1,62.69,0.0,62.69
TXN_00663876,2024-08-14,2024-08-14 18:37:00,CUST_006694,Premium,PROD_0149,Clothing,East,Mobile App,2,50.18,0.0,100.36
